                                                                                ECG                                                                             25.01.2516.42.59200 
Timestamp,Sample
1737823695.1062555,-92
1737823695.1112556,-104
1737823695.1162555,-126
1737823695.1212556,-107
1737823695.1262555,-57
1737823695.1316783,-33
1737823695.1366785,-78
1737823695.1416783,-156
1737823695.1466784,-179
1737823695.1516783,-103
1737823695.1566784,81
1737823695.1616783,466
1737823695.1666784,1145
1737823695.1716783,1814
1737823695.1766784,1812
1737823695.1816783,831
1737823695.1866784,-622
1737823695.1916783,-1669
1737823695.1966784,-1881
1737823695.2016785,-1541
1737823695.2066784,-1109
1737823695.2121012,-751
1737823695.217101,-444
1737823695.2221012,-213
1737823695.227101,-89
1737823695.2321012,-35
1737823695.2371013,-11
1737823695.2421012,-9
1737823695.2471013,-14
1737823695.2521012,-20
1737823695.2571013,-26
1737823695.2621012,-36
1737823695.2671013,-55
1737823695.2721012,-62
1737823695.2771013,-56
1737823695.2821012,-46
1737823695.2871013,-53
1737823695.292524,-72
1737823695.297524,-90
1737823695.302524,-94
1737823695.307524,-89
1737823695.312524,-79
1737823695.317524,-79
1737823695.322524,-88
1737823695.327524,-89
1737823695.332524,-59
1737823695.337524,-20
1737823695.342524,-13
1737823695.347524,-54
1737823695.352524,-93
1737823695.357524,-96
1737823695.362524,-77
1737823695.367524,-65
1737823695.3729467,-59
1737823695.3779469,-47
1737823695.3829467,-24
1737823695.3879468,-15
1737823695.3929467,-34
1737823695.3979468,-58
1737823695.4029467,-54
1737823695.4079468,-30
1737823695.4129467,-27
1737823695.4179468,-66
1737823695.4229467,-106
1737823695.4279468,-106
1737823695.4329467,-70
1737823695.4379468,-54
1737823695.442947,-68
1737823695.4479468,-79
1737823695.4533696,-78
1737823695.4583695,-88
1737823695.4633696,-129
1737823695.4683695,-177
1737823695.4733696,-202
1737823695.4783697,-206
1737823695.4833696,-197
1737823695.4883697,-199
1737823695.4933696,-212
1737823695.4983697,-210
1737823695.5033696,-178
1737823695.5083697,-127
1737823695.5133696,-95
1737823695.5183697,-101
1737823695.5233696,-124
1737823695.5283697,-135
1737823695.5337925,-106
1737823695.5387924,-52
1737823695.5437925,-22
1737823695.5487924,-53
1737823695.5537925,-123
1737823695.5587924,-159
1737823695.5637925,-133
1737823695.5687923,-81
1737823695.5737925,-61
1737823695.5787923,-66
1737823695.5837924,-79
1737823695.5887923,-84
1737823695.5937924,-95
1737823695.5987923,-94
1737823695.6037924,-91
1737823695.6087923,-88
1737823695.6142151,-86
1737823695.6192153,-83
1737823695.6242151,-81
1737823695.6292152,-88
1737823695.634215,-106
1737823695.6392152,-112
1737823695.644215,-98
1737823695.6492152,-78
1737823695.654215,-80
1737823695.6592152,-108
1737823695.664215,-126
1737823695.6692152,-119
1737823695.6742153,-98
1737823695.6792152,-94
1737823695.6842153,-98
1737823695.6892152,-95
1737823695.694638,-91
1737823695.699638,-94
1737823695.704638,-101
1737823695.709638,-96
1737823695.714638,-76
1737823695.719638,-64
1737823695.724638,-69
1737823695.729638,-68
1737823695.734638,-36
1737823695.739638,5
1737823695.744638,15
1737823695.749638,-34
1737823695.754638,-98
1737823695.759638,-127
1737823695.764638,-104
1737823695.769638,-83
1737823695.775061,-99
1737823695.7800608,-144
1737823695.785061,-176
1737823695.7900608,-176
1737823695.7950609,-157
1737823695.8000607,-127
1737823695.8050609,-104
1737823695.8100607,-96
1737823695.8150609,-102
1737823695.8200607,-117
1737823695.8250608,-122
1737823695.8300607,-106
1737823695.8350608,-91
1737823695.8400607,-106
1737823695.8450608,-126
1737823695.8500607,-82
1737823695.8554835,83
1737823695.8604836,450
1737823695.8654835,1081
1737823695.8704836,1697
1737823695.8754835,1720
1737823695.8804836,830
1737823695.8854835,-561
1737823695.8904836,-1617
1737823695.8954835,-1873
1737823695.9004836,-1565
1737823695.9054835,-1135
1737823695.9104836,-757
1737823695.9154837,-426
1737823695.9204836,-171
1737823695.9254837,-51
1737823695.9304836,-30
1737823695.9359062,-38
1737823695.9409063,-25
1737823695.9459062,5
1737823695.9509063,23
1737823695.9559062,-6
1737823695.9609063,-68
1737823695.9659061,-123
1737823695.9709063,-124
1737823695.9759061,-94
1737823695.9809062,-74
1737823695.9859061,-75
1737823695.9909062,-80
1737823695.995906,-73
1737823696.0009062,-67
1737823696.005906,-71
1737823696.0109062,-82
1737823696.016329,-81
1737823696.021329,-66
1737823696.026329,-52
1737823696.031329,-53
1737823696.036329,-62
1737823696.041329,-73
1737823696.046329,-75
1737823696.051329,-68
1737823696.056329,-58
1737823696.061329,-40
1737823696.066329,-22
1737823696.071329,-12
1737823696.076329,-18
1737823696.081329,-40
1737823696.086329,-59
1737823696.091329,-59
1737823696.0967517,-48
1737823696.1017518,-40
1737823696.106752,-42
1737823696.1117518,-50
1737823696.116752,-54
1737823696.1217518,-54
1737823696.126752,-59
1737823696.1317518,-62
1737823696.136752,-56
1737823696.1417518,-50
1737823696.1467519,-66
1737823696.1517518,-111
1737823696.1567519,-159
1737823696.1617517,-179
1737823696.1667519,-167
1737823696.1717517,-152
1737823696.1771746,-167
1737823696.1821747,-198
1737823696.1871746,-222
1737823696.1921747,-225
1737823696.1971745,-201
1737823696.2021747,-169
1737823696.2071745,-139
1737823696.2121747,-105
1737823696.2171745,-66
1737823696.2221746,-58
1737823696.2271745,-103
1737823696.2321746,-166
1737823696.2371745,-186
1737823696.2421746,-147
1737823696.2471745,-96
1737823696.2521746,-76
1737823696.2575974,-79
1737823696.2625973,-85
1737823696.2675974,-81
1737823696.2725973,-80
1737823696.2775974,-76
1737823696.2825973,-76
1737823696.2875974,-82
1737823696.2925973,-100
1737823696.2975974,-109
1737823696.3025973,-104
1737823696.3075974,-96
1737823696.3125975,-97
1737823696.3175974,-100
1737823696.3225975,-108
1737823696.3275974,-111
1737823696.3325975,-110
1737823696.33802,-103
1737823696.3430202,-98
1737823696.3480203,-90
1737823696.3530202,-97
1737823696.3580203,-106
1737823696.3630202,-118
1737823696.3680203,-128
1737823696.3730202,-132
1737823696.3780203,-112
1737823696.3830202,-89
1737823696.3880203,-78
1737823696.3930202,-92
1737823696.3980203,-109
1737823696.4030201,-113
1737823696.4080203,-98
1737823696.4130201,-75
1737823696.4184427,-48
1737823696.4234428,-23
1737823696.4284427,-12
1737823696.4334428,-18
1737823696.4384427,-46
1737823696.4434428,-77
1737823696.4484427,-93
1737823696.4534428,-77
1737823696.4584427,-56
1737823696.4634428,-65
1737823696.468443,-103
1737823696.4734428,-146
1737823696.478443,-162
1737823696.4834428,-155
1737823696.488443,-133
1737823696.4934428,-113
1737823696.4988656,-99
1737823696.5038657,-93
1737823696.5088656,-92
1737823696.5138657,-90
1737823696.5188656,-93
1737823696.5238657,-93
1737823696.5288656,-94
1737823696.5338657,-110
1737823696.5388656,-125
1737823696.5438657,-86
1737823696.5488656,55
1737823696.5538657,399
1737823696.5588655,1030
1737823696.5638657,1733
1737823696.5688655,1909
1737823696.5738657,1139
1737823696.5792885,-270
1737823696.5842884,-1467
1737823696.5892885,-1869
1737823696.5942883,-1621
1737823696.5992885,-1196
1737823696.6042883,-831
1737823696.6092885,-508
1737823696.6142883,-232
1737823696.6192884,-65
1737823696.6242883,-8
1737823696.6292884,-4
1737823696.6342883,-4
1737823696.6392884,7
1737823696.6442883,23
1737823696.6492884,24
1737823696.6542883,11
1737823696.6597111,-3
1737823696.6647112,-6
1737823696.669711,2
1737823696.6747112,1
1737823696.679711,-13
1737823696.6847112,-20
1737823696.689711,-15
1737823696.6947112,4
1737823696.699711,21
1737823696.7047112,25
1737823696.7097113,22
1737823696.7147112,23
1737823696.7197113,28
1737823696.7247112,31
1737823696.7297113,30
1737823696.7347112,19
1737823696.740134,3
1737823696.745134,-21
1737823696.750134,-33
1737823696.755134,-42
1737823696.760134,-52
1737823696.765134,-70
1737823696.770134,-87
1737823696.775134,-97
1737823696.780134,-101
1737823696.785134,-106
1737823696.790134,-111
1737823696.795134,-112
1737823696.800134,-107
1737823696.805134,-103
1737823696.810134,-106
1737823696.815134,-111
1737823696.8205569,-113
1737823696.8255568,-109
1737823696.8305569,-100
1737823696.8355567,-90
1737823696.8405569,-94
1737823696.8455567,-118
1737823696.8505569,-160
1737823696.8555567,-187
1737823696.8605568,-195
1737823696.8655567,-193
1737823696.8705568,-195
1737823696.8755567,-206
1737823696.8805568,-207
1737823696.8855567,-197
1737823696.8905568,-177
1737823696.8955567,-159
1737823696.9009795,-149
1737823696.9059796,-142
1737823696.9109795,-141
1737823696.9159796,-138
1737823696.9209795,-131
1737823696.9259796,-117
1737823696.9309795,-106
1737823696.9359796,-96
1737823696.9409797,-94
1737823696.9459796,-96
1737823696.9509797,-96
1737823696.9559796,-92
1737823696.9609797,-90
1737823696.9659796,-95
1737823696.9709797,-105
1737823696.9759796,-116
1737823696.9814024,-117
1737823696.9864025,-118
1737823696.9914024,-125
1737823696.9964025,-130
1737823697.0014024,-121
1737823697.0064025,-106
1737823697.0114024,-104
1737823697.0164025,-118
1737823697.0214024,-144
1737823697.0264025,-163
1737823697.0314023,-172
1737823697.0364025,-167
1737823697.0414023,-147
1737823697.0464025,-130
1737823697.0514023,-126
1737823697.0564024,-137
1737823697.0618253,-145
1737823697.0668252,-139
1737823697.0718253,-126
1737823697.0768251,-118
1737823697.0818253,-130
1737823697.0868251,-144
1737823697.0918252,-148
1737823697.0968251,-135
1737823697.1018252,-119
1737823697.106825,-103
1737823697.1118252,-90
1737823697.116825,-69
1737823697.1218252,-38
1737823697.126825,-13
1737823697.1318252,-11
1737823697.136825,-43
1737823697.142248,-89
1737823697.147248,-111
1737823697.152248,-107
1737823697.157248,-98
1737823697.162248,-111
1737823697.167248,-142
1737823697.172248,-163
1737823697.177248,-160
1737823697.182248,-150
1737823697.187248,-152
1737823697.192248,-154
1737823697.197248,-139
1737823697.202248,-113
1737823697.207248,-91
1737823697.212248,-84
1737823697.217248,-79
1737823697.2226708,-74
1737823697.227671,-90
1737823697.2326708,-126
1737823697.237671,-122
1737823697.2426708,-41
1737823697.247671,168
1737823697.2526708,635
1737823697.2576709,1351
1737823697.2626708,1870
1737823697.2676709,1578
1737823697.2726707,390
1737823697.2776709,-1004
1737823697.2826707,-1795
1737823697.2876709,-1795
1737823697.2926707,-1411
1737823697.2976708,-1017
1737823697.3030937,-681
1737823697.3080935,-379
1737823697.3130937,-156
1737823697.3180935,-47
1737823697.3230937,-25
1737823697.3280935,-40
1737823697.3330936,-62
1737823697.3380935,-67
1737823697.3430936,-57
1737823697.3480935,-52
1737823697.3530936,-57
1737823697.3580935,-62
1737823697.3630936,-74
1737823697.3680935,-86
1737823697.3730936,-90
1737823697.3780935,-86
1737823697.3835163,-77
1737823697.3885164,-74
1737823697.3935163,-79
1737823697.3985164,-83
1737823697.4035163,-83
1737823697.4085164,-81
1737823697.4135163,-81
1737823697.4185164,-81
1737823697.4235165,-80
1737823697.4285164,-77
1737823697.4335165,-76
1737823697.4385164,-75
1737823697.4435165,-74
1737823697.4485164,-69
1737823697.4535165,-58
1737823697.4585164,-51
1737823697.4639392,-50
1737823697.4689393,-55
1737823697.4739392,-61
1737823697.4789393,-61
1737823697.4839392,-61
1737823697.4889393,-67
1737823697.4939392,-76
1737823697.4989393,-80
1737823697.5039392,-80
1737823697.5089393,-74
1737823697.5139391,-72
1737823697.5189393,-67
1737823697.5239391,-58
1737823697.5289392,-43
1737823697.5339391,-38
1737823697.5389392,-55
1737823697.544362,-94
1737823697.549362,-130
1737823697.554362,-150
1737823697.559362,-161
1737823697.564362,-178
1737823697.569362,-191
1737823697.574362,-200
1737823697.579362,-197
1737823697.584362,-182
1737823697.589362,-162
1737823697.594362,-135
1737823697.599362,-119
1737823697.604362,-115
1737823697.609362,-109
1737823697.614362,-93
1737823697.619362,-72
1737823697.6247847,-62
1737823697.6297848,-65
1737823697.6347847,-66
1737823697.6397848,-71
1737823697.6447847,-78
1737823697.6497848,-85
1737823697.654785,-87
1737823697.6597848,-85
1737823697.664785,-76
1737823697.6697848,-66
1737823697.674785,-59
1737823697.6797848,-66
1737823697.684785,-80
1737823697.6897848,-94
1737823697.6947849,-100
1737823697.6997848,-107
1737823697.7052076,-106
1737823697.7102077,-94
1737823697.7152076,-90
1737823697.7202077,-102
1737823697.7252076,-116
1737823697.7302077,-117
1737823697.7352076,-107
